months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,raw_import_id,data_status
337,53,498842,N/A,OH,100/300,500,1205.86,0,444583,MALE,Associate,armed-forces,basketball,wife,0,-34600,2/1/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Arlington,3227 Maple Ave,8,1,YES,0,1,?,86400,14400,7200,64800,Accura,?,2001,6384,UNPROCESSED_LEGACY_01
360,51,550294,11/26/2001,IL,500/1000,1000,1526.61,0,471866,MALE,Masters,?,chess,not-in-family,0,-32900,1/30/2015,Vehicle Theft,?,Minor Damage,Police,SC,Hillsdale,4264 Lincoln Ridge,5,1,YES,2,2,?,4620,840,840,2940,Dodge,RAM,2009,2501,?
428,53,328387,5/6/2014,IL,100/300,1000,1496.44,0,616884,FEMALE,High School,?,camping,unmarried,0,0,2/16/2015,Parked Car,?,Trivial Damage,Police,NC,Springfield,2215 Best Ave,9,1,YES,2,2,NO,6930,630,1260,5040,Honda,CRV,2013,8079,UNPROCESSED_LEGACY_01
204,40,540152,1/27/1991,IL,100/300,500,1256.2,0,448310,unknown_val,JD,sales,hiking,not-in-family,0,0,1/7/2015,Multi-vehicle Collision,Side Collision,Minor Damage,unknown_val,SC,Northbend,5363 Weaver Lane,10,3,YES,1,2,YES,41700,8340,8340,25020,?,95,2013,1637,UNPROCESSED_LEGACY_01
364,51,385932,4/28/1992,none,100/300,500,1268.35,0,478902,MALE,N/A,?,board-games,wife,0,0,1/10/2015,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,?,2397 Cherokee Ave,16,1,YES,2,1,NO,77330,14060,14060,49210,Volkswagen,Jetta,2014,3605,UNPROCESSED_LEGACY_01
185,35,618682,3/4/2000,IN,500/1000,2000,1421.59,0,442695,MALE,College,other-service,sleeping,own-child,0,0,?,Vehicle Theft,?,Trivial Damage,Police,WV,?,9794 Embaracadero St,8,1,?,2,3,YES,4950,900,450,3600,Ford,F150,2011,5189,UNPROCESSED_LEGACY_01
63,26,550930,10/12/1995,IL,500/1000,500,1500.04,6000000,613826,MALE,PhD,craft-repair,polo,own-child,0,-36500,2/13/2015,Vehicle Theft,?,Minor Damage,Police,NC,Northbrook,1810 Elm Hwy,5,1,NO,0,2,YES,5160,860,860,3440,Accura,?,2004,2220,?
210,35,998192,4/25/2014,IL,100/300,500,1433.24,0,476203,FEMALE,College,exec-managerial,yachting,not-in-family,0,-19500,2/22/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Riverwood,9603 Texas Lane,11,3,NO,2,1,?,24570,2730,2730,19110,Saab,95,2006,2902,UNPROCESSED_LEGACY_01
194,38,663938,1/26/2011,IN,100/300,2000,1231.25,0,604333,FEMALE,PhD,craft-repair,movies,not-in-family,46500,0,1/8/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Arlington,N/A,15,3,?,1,0,?,53680,4880,9760,39040,?,Camry,2011,7222,UNPROCESSED_LEGACY_01
294,49,756870,1/26/1996,IN,500/1000,500,1135.43,0,442604,MALE,Masters,farming-fishing,bungie-jumping,own-child,22700,0,2/4/2015,Multi-vehicle Collision,N/A,Total Loss,Police,WV,Columbus,9633 MLK Lane,23,3,YES,1,1,YES,42900,3900,3900,35100,Chevrolet,Malibu,2010,2611,UNPROCESSED_LEGACY_01
272,41,337158,4/8/1991,OH,none,2000,945.73,5000000,435663,MALE,MD,protective-serv,chess,wife,38600,-42800,2/4/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Arlington,4981 Flute Hwy,23,1,NO,0,0,NO,84100,16820,8410,58870,Ford,Escape,2009,2708,UNPROCESSED_LEGACY_01
27,27,919875,6/29/2002,IN,none,2000,1118.76,0,470866,FEMALE,College,adm-clerical,dancing,own-child,0,-55800,2/26/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbrook,9078 Francis Ridge,23,1,?,1,3,?,61560,6840,6840,47880,Ford,Fusion,2008,7440,UNPROCESSED_LEGACY_01
251,39,315631,4/9/1999,IN,500/1000,2000,1231.98,0,612908,FEMALE,Associate,other-service,hiking,not-in-family,0,-31700,1/8/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,1381 Francis Ave,10,1,YES,0,0,?,44240,5530,5530,33180,Dodge,RAM,1997,1990,UNPROCESSED_LEGACY_01
180,33,113464,4/19/2009,IN,none,2000,1005.47,0,441871,unknown_val,JD,protective-serv,hiking,own-child,58100,-49000,2/15/2015,N/A,Rear Collision,Minor Damage,Ambulance,VA,Columbus,N/A,12,4,?,2,3,YES,57700,11540,5770,40390,Jeep,Grand Cherokee,2002,2688,UNPROCESSED_LEGACY_01
392,50,556415,8/22/1991,OH,100/300,2000,1108.97,0,431496,FEMALE,PhD,exec-managerial,exercise,not-in-family,68400,-66800,1/14/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Springfield,1248 MLK Ridge,4,1,NO,2,2,YES,108030,16620,16620,74790,Saab,92x,2002,7222,UNPROCESSED_LEGACY_01
143,30,250249,11/28/1991,IN,100/300,500,1392.39,5000000,436499,FEMALE,High School,exec-managerial,dancing,unmarried,0,-65700,1/12/2015,Single Vehicle Collision,Rear Collision,?,Fire,SC,Riverwood,3323 1st Lane,16,1,NO,2,0,YES,54300,10860,5430,38010,?,?,2010,2251,UNPROCESSED_LEGACY_01
371,54,403776,N/A,IN,100/300,2000,1317.97,0,469853,MALE,High School,craft-repair,movies,wife,34700,-81000,1/18/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,?,6971 Best Ridge,18,3,?,1,2,?,32280,5380,5380,21520,?,Fusion,2010,2592,UNPROCESSED_LEGACY_01
292,42,396002,N/A,IN,none,1000,1588.22,0,605369,MALE,JD,machine-op-inspct,camping,other-relative,0,-53800,1/15/2015,Multi-vehicle Collision,N/A,Total Loss,Other,WV,?,7488 Lincoln Lane,15,3,YES,1,1,NO,84600,16920,8460,59220,Chevrolet,Malibu,2007,4820,UNPROCESSED_LEGACY_01
165,35,976908,12/31/2012,IL,250/500,500,900.02,6000000,448466,MALE,College,craft-repair,camping,own-child,0,-49900,2/24/2015,N/A,Front Collision,Total Loss,Other,SC,Springfield,9007 Francis Hwy,8,1,NO,1,3,YES,69700,6970,6970,55760,BMW,3 Series,2008,9268,UNPROCESSED_LEGACY_01
158,33,509489,12/21/2013,OH,100/300,1000,1744.64,3000000,432786,MALE,JD,prof-specialty,movies,unmarried,0,0,2/7/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,1491 Francis Ridge,4,3,N/A,0,1,?,36400,3640,7280,25480,Volkswagen,Jetta,1998,3582,UNPROCESSED_LEGACY_01
241,39,485295,4/28/2005,OH,250/500,1000,1260.56,0,473591,FEMALE,N/A,adm-clerical,N/A,own-child,0,-54900,2/22/2015,Multi-vehicle Collision,Side Collision,?,Police,SC,Northbrook,3659 Oak Lane,20,3,NO,0,2,YES,37520,4690,4690,28140,Jeep,Wrangler,2010,2997,UNPROCESSED_LEGACY_01
103,33,361829,N/A,OH,500/1000,2000,1021.14,0,618418,FEMALE,Masters,other-service,paintball,wife,69500,-47700,?,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,N/A,Northbend,N/A,1,3,NO,2,3,?,79090,14380,14380,50330,Dodge,RAM,2014,2278,UNPROCESSED_LEGACY_01
402,54,603632,N/A,none,none,2000,1285.09,0,444558,unknown_val,JD,farming-fishing,board-games,?,48000,-79600,2/28/2015,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Springfield,5189 Francis Drive,19,1,N/A,0,2,YES,67770,7530,15060,45180,?,ML350,2013,8126,UNPROCESSED_LEGACY_01
102,32,783494,9/2/2014,OH,100/300,500,1537.07,3000000,457733,MALE,JD,tech-support,chess,wife,0,0,2/4/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,OH,Northbend,6515 Oak Lane,11,1,NO,1,0,NO,47400,9480,4740,33180,Chevrolet,Silverado,2004,2169,UNPROCESSED_LEGACY_01
182,40,439049,12/12/2011,IN,100/300,1000,1022.42,0,466161,MALE,PhD,other-service,skydiving,husband,50000,-56900,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Northbend,7168 Andromedia Ridge,13,1,YES,0,2,?,71100,7110,14220,49770,Audi,A3,2008,1688,UNPROCESSED_LEGACY_01
282,46,502634,8/17/1991,OH,100/300,2000,1558.86,0,450800,unknown_val,MD,other-service,dancing,?,51100,-75100,2/17/2015,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,7954 Tree Ridge,2,1,?,2,2,NO,69400,13880,6940,48580,BMW,M5,2012,7985,UNPROCESSED_LEGACY_01
222,39,378588,2/29/2004,OH,500/1000,500,1757.87,0,458993,unknown_val,High School,transport-moving,board-games,not-in-family,71400,0,1/17/2015,Multi-vehicle Collision,N/A,Major Damage,Other,SC,Northbrook,1956 Apache St,9,3,YES,2,1,?,55000,5000,10000,40000,Saab,93,1996,5116,UNPROCESSED_LEGACY_01
415,52,794731,2/22/2015,none,250/500,1000,973.5,0,468634,unknown_val,PhD,machine-op-inspct,polo,not-in-family,50400,0,2/2/2015,N/A,Rear Collision,Total Loss,Police,WV,Arlington,9918 Andromedia Drive,15,2,YES,1,3,YES,51090,7860,7860,35370,Toyota,?,2003,7855,UNPROCESSED_LEGACY_01
51,34,641934,12/25/2013,OH,500/1000,500,1430.8,0,461264,MALE,PhD,?,camping,unmarried,0,0,2/12/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,5499 Flute Ridge,23,1,?,2,3,NO,64200,6420,19260,38520,Honda,Civic,2007,7532,UNPROCESSED_LEGACY_01
255,45,113516,10/13/1990,IL,500/1000,500,1192.27,0,600184,MALE,High School,sales,base-jumping,own-child,0,-40200,1/4/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Riverwood,3311 2nd Drive,16,1,NO,2,0,YES,67320,12240,12240,42840,Ford,Fusion,2006,3488,UNPROCESSED_LEGACY_01
143,31,425631,7/5/2014,IL,250/500,500,1163.83,0,604874,MALE,Associate,protective-serv,N/A,husband,37700,0,2/21/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,NC,Arlington,7609 Rock St,21,4,YES,2,0,?,76120,6920,13840,55360,Audi,A5,1999,8610,UNPROCESSED_LEGACY_01
130,28,542245,11/25/1991,OH,500/1000,1000,1003.15,0,462377,FEMALE,JD,farming-fishing,movies,other-relative,0,-38500,1/23/2015,Multi-vehicle Collision,Front Collision,?,Ambulance,SC,Hillsdale,4652 Flute Drive,21,2,YES,2,1,NO,85020,13080,13080,58860,Ford,Fusion,2010,2152,UNPROCESSED_LEGACY_01
242,41,512894,10/2/1990,OH,250/500,2000,1153.54,6000000,619657,unknown_val,Masters,protective-serv,N/A,unmarried,0,-57000,?,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,N/A,Northbrook,6853 Sky Hwy,3,3,NO,0,1,?,68090,12380,12380,43330,Toyota,Corolla,2009,4947,UNPROCESSED_LEGACY_01
96,27,633090,2/17/2009,IL,100/300,1000,1631.1,0,437323,FEMALE,High School,priv-house-serv,exercise,wife,0,0,1/23/2015,Parked Car,?,?,Police,WV,Arlington,7780 Flute Lane,4,1,?,1,2,?,6030,670,670,4690,?,Pathfinder,2007,7182,UNPROCESSED_LEGACY_01
180,35,464234,7/17/2005,IL,500/1000,1000,1252.48,0,432148,MALE,MD,machine-op-inspct,yachting,wife,0,-55800,2/10/2015,N/A,?,Minor Damage,,OH,Springfield,1687 3rd Lane,17,1,?,1,3,NO,5100,1020,510,3570,Chevrolet,Malibu,2000,9563,UNPROCESSED_LEGACY_01
150,30,290162,3/12/1994,IN,100/300,1000,1677.26,0,439690,MALE,College,sales,yachting,own-child,40100,0,1/10/2015,Vehicle Theft,N/A,Trivial Damage,Police,WV,Springfield,6378 Britain Ave,7,1,YES,1,3,YES,4590,510,510,3570,Volkswagen,Jetta,2013,6487,UNPROCESSED_LEGACY_01
463,59,638155,N/A,IL,250/500,1000,979.73,0,601848,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0,?,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Columbus,1306 Andromedia St,14,2,?,1,2,NO,72400,7240,14480,50680,?,?,1999,3564,UNPROCESSED_LEGACY_01
472,64,911429,8/25/2012,IN,250/500,500,989.24,0,615821,MALE,Masters,other-service,skydiving,not-in-family,0,0,2/21/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,3664 Francis Ridge,13,1,NO,2,3,NO,70900,14180,7090,49630,?,ML350,2002,6859,UNPROCESSED_LEGACY_01
75,25,106186,12/2/2011,none,500/1000,1000,1389.86,0,472475,FEMALE,Associate,priv-house-serv,hiking,husband,0,0,1/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,N/A,Springfield,5985 Lincoln Lane,23,2,?,2,3,YES,65100,6510,6510,52080,Saab,93,2011,8848,UNPROCESSED_LEGACY_01
193,40,311783,2/25/2005,OH,100/300,500,1233.85,0,457463,FEMALE,College,handlers-cleaners,chess,husband,0,0,?,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,Hillsdale,3706 4th Hwy,23,3,?,2,1,?,64260,0,14280,49980,Ford,Escape,1999,3814,UNPROCESSED_LEGACY_01
43,43,528385,11/7/1997,IL,500/1000,500,1320.39,0,604861,FEMALE,Associate,armed-forces,N/A,not-in-family,0,0,?,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,6603 Francis Hwy,16,1,?,2,1,?,79970,7270,21810,50890,Honda,?,1996,6685,UNPROCESSED_LEGACY_01
253,41,228403,4/20/2004,IN,100/300,1000,1435.09,0,471519,FEMALE,College,machine-op-inspct,bungie-jumping,not-in-family,36600,0,1/11/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbrook,7069 4th Hwy,17,1,NO,2,0,?,56610,6290,6290,44030,Chevrolet,Tahoe,1995,4368,UNPROCESSED_LEGACY_01
152,30,209177,11/17/2009,IN,none,500,1448.54,0,618682,FEMALE,JD,?,N/A,wife,58600,0,?,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbrook,5093 Flute Lane,9,1,YES,1,1,?,84590,7690,7690,69210,?,Highlander,2000,5866,UNPROCESSED_LEGACY_01
160,38,497929,9/19/2009,OH,250/500,500,1733.56,0,441425,MALE,High School,sales,sleeping,wife,0,-43800,1/9/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,5894 Flute Drive,13,3,NO,2,1,YES,66780,7420,14840,44520,Mercedes,ML350,1996,6811,UNPROCESSED_LEGACY_01
56,36,735844,11/8/2009,IN,100/300,500,1533.07,0,609336,MALE,JD,farming-fishing,exercise,own-child,0,-28800,1/20/2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,Springfield,8459 Apache Ave,13,1,YES,1,2,YES,58500,0,6500,52000,Ford,Escape,2001,7865,UNPROCESSED_LEGACY_01
286,41,710741,9/12/2001,IL,100/300,500,1106.77,0,603320,FEMALE,College,prof-specialty,golf,other-relative,45500,-62500,2/26/2015,Parked Car,N/A,Trivial Damage,Police,WV,?,7447 Lincoln Ridge,3,1,?,2,0,NO,5000,500,500,4000,Dodge,RAM,2003,7641,UNPROCESSED_LEGACY_01
3,29,276804,11/27/1992,IL,100/300,500,995.7,5000000,615446,FEMALE,JD,priv-house-serv,chess,?,0,0,2/2/2015,Parked Car,?,Trivial Damage,unknown_val,PA,Springfield,1821 Andromedia Ridge,3,1,?,2,1,?,5000,500,1000,3500,?,E400,2008,6944,UNPROCESSED_LEGACY_01
286,41,507545,12/7/1998,IL,250/500,1000,1298.85,6000000,435967,FEMALE,High School,sales,camping,other-relative,71300,-70300,1/4/2015,Multi-vehicle Collision,Front Collision,Major Damage,unknown_val,NY,Columbus,6859 Flute Ridge,16,3,?,1,3,YES,54450,6050,12100,36300,Saab,92x,2007,1590,?
239,38,485642,8/25/1990,OH,250/500,1000,1276.73,5000000,610246,FEMALE,Masters,handlers-cleaners,bungie-jumping,other-relative,0,0,2/19/2015,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,4175 Elm Ridge,12,3,NO,1,3,?,61920,6880,6880,48160,Saab,93,2003,4812,UNPROCESSED_LEGACY_01
64,29,796375,10/22/2011,OH,none,2000,1202.28,0,479327,unknown_val,High School,exec-managerial,cross-fit,other-relative,0,-61400,1/12/2015,Single Vehicle Collision,N/A,Minor Damage,Ambulance,VA,Hillsdale,5007 Oak St,4,1,?,1,2,NO,43700,4370,4370,34960,Nissan,Pathfinder,2007,5990,UNPROCESSED_LEGACY_01
98,31,171183,2/1/1990,IN,100/300,500,671.92,0,468300,MALE,Masters,machine-op-inspct,N/A,wife,0,-26400,1/24/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,5790 Flute Ridge,3,1,?,2,0,?,64080,7120,7120,49840,Ford,Escape,1997,5066,UNPROCESSED_LEGACY_01
16,35,110084,11/27/1990,IL,250/500,1000,1358.03,0,612660,MALE,JD,sales,chess,own-child,59300,-31400,2/17/2015,Single Vehicle Collision,Rear Collision,?,Other,N/A,Hillsdale,8704 Britain Lane,0,1,NO,2,1,?,55000,10000,10000,35000,Volkswagen,Jetta,2008,8970,UNPROCESSED_LEGACY_01
70,27,714784,7/16/2004,IN,250/500,1000,1008.79,4000000,466691,FEMALE,Masters,adm-clerical,video-games,own-child,46000,0,1/13/2015,Vehicle Theft,?,Trivial Damage,Police,WV,Columbus,N/A,19,1,NO,2,3,?,4400,0,550,3850,Toyota,Camry,2000,5886,UNPROCESSED_LEGACY_01
75,27,143924,12/10/1993,OH,100/300,1000,1141.1,0,468515,MALE,JD,armed-forces,movies,?,0,0,2/28/2015,Multi-vehicle Collision,N/A,Minor Damage,Police,SC,Hillsdale,3618 Maple Lane,15,2,?,0,1,YES,71640,5970,11940,53730,?,Highlander,2008,1866,UNPROCESSED_LEGACY_01
246,44,996850,3/8/1995,OH,none,1000,1397.0,0,614521,MALE,N/A,machine-op-inspct,reading,not-in-family,0,0,1/3/2015,Single Vehicle Collision,Rear Collision,?,Other,N/A,Arlington,7705 Lincoln Drive,6,1,NO,1,0,NO,61740,6860,6860,48020,Accura,MDX,1997,3789,UNPROCESSED_LEGACY_01
110,27,284834,8/3/2009,OH,500/1000,1000,1664.66,0,465921,FEMALE,Associate,priv-house-serv,N/A,own-child,0,-66200,2/5/2015,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,SC,?,8602 Washington Ridge,3,1,N/A,0,3,?,57500,5750,5750,46000,Audi,A3,2010,7344,UNPROCESSED_LEGACY_01
236,39,830878,11/3/1996,IN,none,1000,1151.39,4000000,604555,FEMALE,Masters,exec-managerial,reading,wife,0,-63900,1/1/2015,Parked Car,?,Minor Damage,Police,NY,Springfield,2832 Andromedia Lane,17,1,YES,0,0,?,8700,870,1740,6090,Accura,?,2003,7958,UNPROCESSED_LEGACY_01
267,46,270208,N/A,OH,100/300,2000,1546.01,0,616276,FEMALE,MD,adm-clerical,polo,wife,0,0,1/6/2015,Multi-vehicle Collision,N/A,Total Loss,Police,VA,Riverwood,9760 4th Hwy,4,4,NO,2,1,?,77100,15420,7710,53970,Volkswagen,Jetta,1996,5696,UNPROCESSED_LEGACY_01
463,57,407958,7/20/1991,IL,250/500,500,1063.67,0,463356,MALE,Masters,priv-house-serv,dancing,wife,0,0,2/3/2015,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,2509 Rock Drive,14,1,NO,2,0,YES,59400,6600,6600,46200,Dodge,?,1995,8602,UNPROCESSED_LEGACY_01
303,46,832300,1/14/2005,IN,100/300,1000,709.14,0,450184,MALE,Masters,machine-op-inspct,kayaking,husband,0,0,2/12/2015,N/A,Rear Collision,Minor Damage,Fire,NY,Northbrook,2063 Weaver St,3,3,NO,1,0,NO,54890,9980,4990,39920,Toyota,Corolla,2006,9931,UNPROCESSED_LEGACY_01
137,30,927205,12/16/2011,none,250/500,500,1039.55,0,466393,MALE,MD,exec-managerial,kayaking,unmarried,55600,-59700,2/16/2015,N/A,Front Collision,Minor Damage,Other,WV,Columbus,3818 Texas Ridge,4,3,?,2,1,?,74030,6730,13460,53840,Chevrolet,Tahoe,2005,5570,?
56,42,655356,7/7/1996,IL,250/500,500,1339.39,0,471786,FEMALE,Associate,?,N/A,not-in-family,0,0,2/25/2015,Single Vehicle Collision,Rear Collision,?,Other,NY,Columbus,3929 Elm Ave,13,1,?,1,2,YES,61490,11180,11180,39130,BMW,X5,1998,7821,UNPROCESSED_LEGACY_01
75,27,831053,8/5/1992,IN,none,1000,1202.75,0,602289,MALE,High School,handlers-cleaners,board-games,not-in-family,57900,-90100,1/21/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,SC,Northbrook,9911 Britain Lane,23,3,NO,0,2,YES,79560,6630,13260,59670,Volkswagen,Passat,2003,6416,UNPROCESSED_LEGACY_01
131,33,432740,10/9/1990,IL,100/300,2000,1081.17,0,445120,MALE,MD,sales,yachting,wife,0,-65200,1/28/2015,Parked Car,?,Minor Damage,Police,NY,Northbend,3246 Britain Ridge,3,1,?,0,1,NO,4900,490,490,3920,Toyota,Camry,2010,3671,?
153,34,893853,2/27/1994,IL,none,500,991.39,0,449260,MALE,N/A,?,paintball,other-relative,45600,-61400,2/27/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,2696 Cherokee Ridge,0,3,?,1,0,NO,77770,14140,14140,49490,Nissan,Pathfinder,2000,4048,?
255,43,594988,5/6/2007,IN,500/1000,500,984.02,0,472724,FEMALE,JD,transport-moving,board-games,unmarried,75800,0,2/10/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,?,5249 4th Ave,14,2,?,2,2,?,74700,7470,14940,52290,Nissan,Maxima,2007,8104,UNPROCESSED_LEGACY_01
103,26,979544,4/21/2014,IL,100/300,500,1354.83,0,475173,MALE,MD,tech-support,sleeping,husband,66300,0,1/18/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Arlington,4721 Cherokee Hwy,14,2,NO,2,2,?,40600,4060,4060,32480,Volkswagen,Passat,2010,2049,?
97,28,191891,N/A,OH,100/300,1000,830.31,0,443854,MALE,JD,farming-fishing,video-games,husband,0,-32600,1/13/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Springfield,8212 Flute Ridge,22,1,?,1,0,?,45270,10060,10060,25150,Jeep,Wrangler,2006,7716,UNPROCESSED_LEGACY_01
214,36,831479,6/4/2000,IL,100/300,2000,987.42,7000000,461418,FEMALE,Associate,machine-op-inspct,kayaking,own-child,0,0,1/31/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,3592 MLK Ridge,17,3,NO,0,3,?,47080,4280,8560,34240,Saab,93,2006,9284,UNPROCESSED_LEGACY_01
438,57,714346,10/5/1991,OH,500/1000,500,1119.29,0,616164,FEMALE,MD,machine-op-inspct,chess,husband,0,0,1/15/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,6494 4th Ave,14,1,?,0,0,?,40700,4070,4070,32560,Volkswagen,Passat,2000,6897,UNPROCESSED_LEGACY_01
87,27,326289,1/3/2004,none,none,500,1048.39,0,620962,FEMALE,Masters,transport-moving,polo,own-child,0,0,2/13/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,N/A,2,1,?,2,1,YES,34650,6300,3150,25200,Ford,F150,1996,6085,UNPROCESSED_LEGACY_01
27,28,944537,7/23/1992,OH,none,1000,1074.47,0,465201,MALE,MD,protective-serv,camping,wife,0,0,2/13/2015,Parked Car,?,Trivial Damage,Police,WV,Riverwood,1553 Lincoln St,4,1,?,2,0,?,3200,400,400,2400,Jeep,?,2012,4809,UNPROCESSED_LEGACY_01
206,42,779156,10/10/1993,IL,500/1000,1000,1230.76,0,470488,MALE,High School,machine-op-inspct,yachting,unmarried,0,-74200,1/3/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,VA,Hillsdale,7628 4th Lane,2,1,?,1,1,NO,78980,7180,14360,57440,Saab,92x,1997,3382,UNPROCESSED_LEGACY_01
127,31,856153,7/9/2002,OH,500/1000,500,1255.02,0,462250,MALE,Associate,?,reading,not-in-family,58200,0,1/13/2015,N/A,?,Minor Damage,,SC,Riverwood,3028 5th St,10,1,YES,1,0,NO,6160,560,1120,4480,Nissan,?,1996,5035,UNPROCESSED_LEGACY_01
422,60,473338,11/14/2010,IN,none,1000,1555.52,0,436408,FEMALE,MD,machine-op-inspct,hiking,own-child,43600,-67800,2/14/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Northbrook,8949 Rock Hwy,11,1,YES,1,1,?,85250,15500,7750,62000,Mercedes,E400,1999,6701,UNPROCESSED_LEGACY_01
303,50,521694,3/3/1997,IL,100/300,2000,836.11,5000000,464230,MALE,Masters,sales,camping,not-in-family,0,0,1/20/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Springfield,9751 Tree St,1,4,YES,1,2,NO,72840,12140,6070,54630,Dodge,Neon,2010,4192,UNPROCESSED_LEGACY_01
228,40,136520,3/1/1997,IN,none,500,1450.98,0,478609,MALE,Associate,exec-managerial,base-jumping,husband,43700,0,1/18/2015,Parked Car,?,Trivial Damage,Police,WV,Northbend,4702 Texas Drive,20,1,?,0,2,NO,6050,1100,1100,3850,Toyota,Camry,2010,8585,UNPROCESSED_LEGACY_01
239,39,730819,8/18/1990,none,250/500,2000,625.08,0,437156,FEMALE,JD,protective-serv,hiking,wife,44200,-37000,1/3/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,N/A,10,1,NO,2,3,YES,87890,15980,7990,63920,BMW,X6,2014,9438,UNPROCESSED_LEGACY_01
330,47,912665,5/28/2014,IL,100/300,2000,1133.27,0,432218,FEMALE,High School,?,chess,wife,0,-56400,3/1/2015,N/A,Side Collision,Total Loss,Other,N/A,Northbrook,N/A,20,2,?,0,2,YES,60500,11000,5500,44000,Ford,F150,1999,6043,UNPROCESSED_LEGACY_01
128,35,469966,7/22/2004,IN,none,500,1366.6,0,620493,FEMALE,MD,machine-op-inspct,kayaking,other-relative,0,0,1/1/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,?,8667 Weaver Lane,10,3,?,2,1,NO,88220,16040,16040,56140,Chevrolet,?,2008,3176,UNPROCESSED_LEGACY_01
147,37,952300,N/A,OH,500/1000,1000,1439.9,6000000,475391,FEMALE,Associate,prof-specialty,video-games,husband,0,-48400,1/29/2015,Multi-vehicle Collision,Rear Collision,Total Loss,unknown_val,SC,Springfield,4931 Maple Drive,2,2,NO,1,2,NO,53680,9760,4880,39040,Accura,MDX,2004,7835,UNPROCESSED_LEGACY_01
287,45,322609,7/5/2007,OH,500/1000,1000,1230.69,0,440720,MALE,Masters,transport-moving,golf,not-in-family,0,-54600,?,Single Vehicle Collision,N/A,Minor Damage,Fire,VA,?,3808 5th Ave,19,1,NO,0,2,NO,53800,5380,5380,43040,Accura,?,2006,8338,UNPROCESSED_LEGACY_01
